'Date Rptd','DATE OCC',Mocodes,'Vict Age','Vict Sex','Vict Descent','Premis Cd','Weapon Used Cd',Status,'Crm Cd'
'12/20/23 0:00','12/19/23 0:00','0344 0394',39,M,W,203,400,IC,4
'7/26/23 0:00','7/25/23 0:00','1822 0344',45,F,H,123,400,IC,3
'4/26/22 0:00','4/14/22 0:00','1822 0344 2038',27,M,W,202,400,IC,3
'8/25/22 0:00','8/24/22 0:00','0302 1300 1310 1414 1822 0605 0334 1402 0919',32,M,H,101,114,AA,2
'1/11/24 0:00','12/2/23 0:00','0344 0394 1202 1822',73,F,B,502,400,IC,4
'4/5/24 0:00','4/5/24 0:00',344,20,M,H,503,400,IC,4
'5/23/22 0:00','5/16/22 0:00',329,30,F,H,101,400,IC,8
'2/13/23 0:00','2/9/23 0:00','0344 1300',31,M,H,231,400,IC,3
'5/23/23 0:00','5/23/23 0:00','0344 1402',36,M,H,203,400,IC,4
'11/28/21 0:00','11/28/21 0:00','1402 0447 1822 0445',36,M,H,202,308,AO,2
'6/5/21 0:00','6/5/21 0:00',344,36,M,H,101,400,IC,4
'11/8/22 0:00','11/3/22 0:00','0100 1822 0922 0930',33,M,B,501,400,IC,3
'12/30/22 0:00','12/29/22 0:00','2000 0419 0408 1813 0913 1414',32,F,H,108,400,AA,2
'6/26/21 0:00','6/26/21 0:00','0344 1300',20,M,H,108,400,IC,3
'2/6/20 0:00','2/5/20 0:00',444,29,M,W,104,400,IC,7
'6/3/24 0:00','5/28/24 0:00',344,36,M,H,101,400,IC,4
'3/22/22 0:00','3/20/22 0:00','0344 1602 0385',49,F,W,108,400,IC,3
'7/4/22 0:00','7/3/22 0:00','1822 0325',36,M,H,406,400,AA,4
